Series,n,Term,Label,Obs,Obs_unc,Calc,Obs-Calc,nu_S,New,
5snp,46,3P2,5s46p,45873.13,0.03,45873.18,-0.05,43.106,TRUE,
5snp,47,3P2,5s47p,45875.77,0.03,45875.83,-0.06,44.102,TRUE,
5snp,48,3P2,5s48p,45878.26,0.03,45878.30,-0.03,45.112,TRUE,
5snp,49,3P2,5s49p,45880.56,0.02,45880.61,-0.04,46.106,TRUE,
5snp,50,3P2,5s50p,45882.75,0.02,45882.77,-0.02,47.115,TRUE,
5snp,51,3P2,5s51p,45884.82,0.02,45884.81,0.01,48.13,TRUE,
5snp,52,3P2,5s52p,45886.71,0.02,45886.72,-0.01,49.122,TRUE,
5snp,53,3P2,5s53p,45888.43,0.03,45888.51,-0.08,50.081,TRUE,
5snp,54,3P2,5s54p,45890.18,0.02,45890.20,-0.02,51.113,TRUE,
5snp,55,3P2,5s55p,45891.80,0.03,45891.80,0,52.128,TRUE,
5snp,56,3P2,5s56p,45893.28,0.02,45893.31,-0.02,53.111,TRUE,
5snp,57,3P2,5s57p,45894.70,0.02,45894.73,-0.03,54.103,TRUE,
5snp,58,3P2,5s58p,45896.01,0.02,45896.08,-0.06,55.076,TRUE,
5snp,59,3P2,5s59p,45897.30,0.02,45897.35,-0.05,56.084,TRUE,
5snp,60,3P2,5s60p,45898.50,0.02,45898.56,-0.06,57.078,TRUE,
