,n,Series,Term,E_obs,E_obs_stat,E_obs_sys,E_calc,Delta_E,delta_obs,delta_calc
6,16,5snd,1D2,45362.1272,0.001,0,45362.1271,0.00011999999999999999,2.12569,2.12569
7,17,5snd,1D2,45433.2717,0.001,0,45433.2715,0.00016999999999999999,2.1694400000000003,2.1694400000000003
8,18,5snd,1D2,45492.6101,0.001,0,45492.6201,-0.01004,2.20015,2.19997
9,19,5snd,1D2,45542.2955,0.001,0,45542.2711,0.024380000000000002,2.22364,2.22417
10,20,5snd,1D2,45584.1831,0.001,0,45584.1782,0.00485,2.2427099999999998,2.24283
11,21,5snd,1D2,45619.7872,0.001,0,45619.789,-0.00183,2.25814,2.25809
12,22,5snd,1D2,45650.2617,0.001,0,45650.2709,-0.00919,2.27122,2.2709
13,23,5snd,1D2,45676.5325,0.001,0,45676.5461,-0.01355,2.2823900000000004,2.2818400000000003
14,24,5snd,1D2,45699.3308,0.001,0,45699.3442,-0.013359999999999999,2.29192,2.29129
15,25,5snd,1D2,45719.2336,0.001,0,45719.2462,-0.01259,2.3002,2.2995200000000002
16,26,5snd,1D2,45736.7165,0.001,0,45736.7182,-0.00173,2.30685,2.30675
17,28,5snd,1D2,45765.8106,0.001,0,45765.811,-0.00043,2.3188,2.3187599999999997
18,29,5snd,1D2,45777.9907,0.001,0,45777.9913,-0.00063,2.32385,2.3238
19,30,5snd,1D2,45788.8895,0.001,0,45788.887,0.00252,2.32806,2.3283099999999997
20,31,5snd,1D2,45798.6753,0.001,0,45798.6716,0.0036799999999999997,2.33196,2.33236
21,32,5snd,1D2,45807.4942,0.001,0,45807.4907,0.00349,2.3355900000000003,2.33601
22,33,5snd,1D2,45815.4703,0.001,0,45815.4667,0.00359,2.3388400000000003,2.3393200000000003
23,34,5snd,1D2,45822.7079,0.001,0,45822.7034,0.0045,2.34167,2.34232
24,35,5snd,1D2,45829.2918,0.001,0,45829.2891,0.00268,2.34463,2.34505
25,36,5snd,1D2,45835.3098,0.001,0,45835.2944,0.01039,2.34575,2.34755
26,37,5snd,1D2,45840.8107,0.001,0,45840.7993,0.01144,2.34767,2.34984
27,38,5snd,1D2,45845.8526,0.001,0,45845.8447,0.00787,2.35031,2.35193
28,39,5snd,1D2,45850.4882,0.001,0,45850.4844,0.00379,2.35301,2.35386
29,40,5snd,1D2,45854.7641,0.001,0,45854.7606,0.00352,2.35479,2.35564
30,42,5snd,1D2,45862.3725,0.001,0,45862.3656,0.006940000000000001,2.35684,2.35881
31,43,5snd,1D2,45865.761,0.001,0,45865.7552,0.00579,2.35845,2.36022
32,44,5snd,1D2,45868.9075,0.001,0,45868.9042,0.00328,2.36046,2.36154
33,45,5snd,1D2,45871.8381,0.001,0,45871.8348,0.00329,2.3616,2.3627599999999997
34,46,5snd,1D2,45874.569,0.001,0,45874.5667,0.0023,2.3630299999999997,2.3639
35,47,5snd,1D2,45877.1177,0.001,0,45877.1174,0.00028,2.36485,2.36496
36,48,5snd,1D2,45879.5076,0.001,0,45879.5026,0.00496,2.36381,2.36596
37,49,5snd,1D2,45881.7351,0.001,0,45881.7364,-0.00125,2.36747,2.36689
38,50,5snd,1D2,45883.8322,0.001,0,45883.8311,0.0011,2.3672299999999997,2.36777
39,51,5snd,1D2,45885.7953,0.001,0,45885.7982,-0.00288,2.3701,2.36859
40,52,5snd,1D2,45887.6482,0.001,0,45887.6477,0.00045999999999999996,2.36911,2.36936
41,53,5snd,1D2,45889.3906,0.001,0,45889.3889,0.00165,2.36912,2.3700900000000003
42,54,5snd,1D2,45891.03,0.001,0,45891.0301,-0.00011,2.3708400000000003,2.37078
43,55,5snd,1D2,45892.58,0.001,0,45892.5787,0.00128,2.37058,2.37143
44,56,5snd,1D2,45894.0409,0.001,0,45894.0416,-0.00073,2.37255,2.37204
45,57,5snd,1D2,45895.4215,0.001,0,45895.425,-0.00352,2.3752299999999997,2.37262
46,58,5snd,1D2,45896.7331,0.001,0,45896.7346,-0.00146,2.37431,2.37317
47,59,5snd,1D2,45897.9755,0.001,0,45897.9754,9e-05,2.3736099999999998,2.3736900000000003
48,60,5snd,1D2,45899.1528,0.001,0,45899.1523,0.0005099999999999999,2.37373,2.37418
49,61,5snd,1D2,45900.2719,0.001,0,45900.2695,0.0023899999999999998,2.37245,2.37465
50,62,5snd,1D2,45901.3328,0.001,0,45901.331,0.00175,2.3734,2.37509
51,63,5snd,1D2,45902.3404,0.001,0,45902.3405,-0.00013000000000000002,2.37565,2.37551
52,64,5snd,1D2,45903.3024,0.001,0,45903.3013,0.00109,2.37475,2.3759200000000003
53,65,5snd,1D2,45904.2175,0.001,0,45904.2165,0.00103,2.37514,2.3763
54,66,5snd,1D2,45905.0896,0.001,0,45905.0888,0.0007599999999999999,2.37578,2.3766700000000003
55,67,5snd,1D2,45905.9232,0.001,0,45905.9211,0.00214,2.37438,2.37702
56,68,5snd,1D2,45906.7247,0.001,0,45906.7155,0.00915,2.36557,2.37735
57,69,5snd,1D2,45907.4771,0.001,0,45907.4746,0.0025399999999999997,2.3742400000000004,2.37767
58,70,5snd,1D2,45908.1945,0.001,0,45908.2002,-0.00566,2.38595,2.37797
59,74,5snd,1D2,45910.8054,0.001,0,45910.8052,0.00022999999999999998,2.37868,2.37906
60,75,5snd,1D2,45911.3891,0.001,0,45911.3901,-0.00105,2.3811299999999997,2.37931
61,79,5snd,1D2,45913.5019,0.001,0,45913.5056,-0.0036799999999999997,2.38773,2.3801900000000002
62,80,5snd,1D2,45913.9752,0.001,0,45913.984,-0.00883,2.3992,2.3803900000000002
63,84,5snd,1D2,45915.7197,0.001,0,45915.7253,-0.00556,2.39489,2.38112
