Series,n,Term,Int,lambda_air,lambda_air_unc,sigma_vac,E,Previous,n*,New
5snp,5,1P1,,,,,21698.461,98.482,2.1279753,
5snp,6,1P1,,716.7143,,13948.716,34098.41,98.44,3.045201,FALSE
5snp,7,1P1,4,532.9813,,13757.167,38906.88,6.9,3.952266,FALSE
5snp,8,1P1,5.5,448.0507,,22312.642,42462.34,62.32,5.62376,FALSE
5snp,9,1P1,4,431.3182,,23178.22,43327.92,28.04,6.49144,FALSE
5snp,10,1P1,4,420.286,0.002,23786.62,43936.32,36.6,7.41516,TRUE
5snp,11,1P1,4.5,412.8213,0.002,24216.73,44366.43,66.48,8.37196,TRUE
5snp,12,1P1,4,407.6147,0.002,24526.05,44675.75,75.77,9.34592,TRUE
5snp,13,1P1,4,403.8642,0.002,24753.8,44903.5,3.52,10.32891,TRUE
5snp,14,1P1,4,401.0806,0.002,24925.6,45075.3,75.36,11.3172,TRUE
5snp,15,1P1,3,398.9593,0.002,25058.13,45207.83,7.98,12.3092,TRUE
5snp,16,1P1,2,397.3072,0.002,25162.32,45312.02,11.87,13.3032,TRUE
5snp,17,1P1,1.5,395.9961,0.002,25245.63,45395.33,95.47,14.2983,TRUE
5snp,18,1P1,1.5,394.9374,0.002,25313.3,45463,63.25,15.2949,TRUE
5snp,19,1P1,2,394.0711,0.002,25368.95,45518.65,18.69,16.2918,TRUE
5snp,20,1P1,1.5,393.3523,0.002,25415.31,45565.01,65.08,17.29,TRUE
5snp,21,1P1,1.5,392.75,0.002,25454.28,45603.98,4.04,18.288,TRUE
5snp,22,1P1,1.5,392.2397,0.002,25487.4,45637.1,37.18,19.2873,TRUE
5snp,23,1P1,1,391.8042,0.002,25515.73,45665.43,65.42,20.286,TRUE
5snp,24,1P1,1,391.4294,0.002,25540.16,45689.86,89.79,21.2844,TRUE
5snp,25,1P1,1,391.1043,0.002,25561.39,45711.09,11.11,22.283,TRUE
5snp,26,1P1,1,390.8202,0.002,25579.97,45129.67,29.42,23.284,TRUE
5snp,27,1P1,0,390.5709,0.002,25596.3,45746,46.03,24.284,TRUE
5snp,28,1P1,0,390.3506,0.002,25610.74,45760.44,60.22,25.284,TRUE
5snp,29,1P1,0,390.1571,0.002,25623.44,45773.14,73.27,26.275,TRUE
