Series,n,Term,E_exp,E_exp_unc,Isotope,Ref
5snd,35,1D2,45829.2918,0.0010006922855944561,88,blt_1982
5snd,36,1D2,45835.3098,0.0010006922855944561,88,blt_1982
5snd,37,1D2,45840.8107,0.0010006922855944561,88,blt_1982
5snd,38,1D2,45845.8526,0.0010006922855944561,88,blt_1982
5snd,39,1D2,45850.4882,0.0010006922855944561,88,blt_1982
5snd,40,1D2,45854.7641,0.0010006922855944561,88,blt_1982
5snd,42,1D2,45862.3725,0.0010006922855944561,88,blt_1982
5snd,43,1D2,45865.761,0.0010006922855944561,88,blt_1982
5snd,44,1D2,45868.9075,0.0010006922855944561,88,blt_1982
5snd,45,1D2,45871.8381,0.0010006922855944561,88,blt_1982
5snd,46,1D2,45874.569,0.0010006922855944561,88,blt_1982
5snd,47,1D2,45877.1177,0.0010006922855944561,88,blt_1982
5snd,48,1D2,45879.5076,0.0010006922855944561,88,blt_1982
5snd,49,1D2,45881.7351,0.0010006922855944561,88,blt_1982
5snd,50,1D2,45883.8322,0.0010006922855944561,88,blt_1982
5snd,51,1D2,45885.7953,0.0010006922855944561,88,blt_1982
5snd,52,1D2,45887.6482,0.0010006922855944561,88,blt_1982
5snd,53,1D2,45889.3906,0.0010006922855944561,88,blt_1982
5snd,54,1D2,45891.03,0.0010006922855944561,88,blt_1982
5snd,55,1D2,45892.58,0.0010006922855944561,88,blt_1982
5snd,56,1D2,45894.0409,0.0010006922855944561,88,blt_1982
5snd,57,1D2,45895.4215,0.0010006922855944561,88,blt_1982
5snd,58,1D2,45896.7331,0.0010006922855944561,88,blt_1982
5snd,59,1D2,45897.9755,0.0010006922855944561,88,blt_1982
5snd,60,1D2,45899.1528,0.0010006922855944561,88,blt_1982
5snd,61,1D2,45900.2719,0.0010006922855944561,88,blt_1982
5snd,62,1D2,45901.3328,0.0010006922855944561,88,blt_1982
5snd,63,1D2,45902.3404,0.0010006922855944561,88,blt_1982
5snd,64,1D2,45903.3024,0.0010006922855944561,88,blt_1982
5snd,65,1D2,45904.2175,0.0010006922855944561,88,blt_1982
5snd,66,1D2,45905.0896,0.0010006922855944561,88,blt_1982
5snd,67,1D2,45905.9232,0.0010006922855944561,88,blt_1982
5snd,68,1D2,45906.7247,0.0010006922855944561,88,blt_1982
5snd,69,1D2,45907.4771,0.0010006922855944561,88,blt_1982
5snd,70,1D2,45908.1945,0.0010006922855944561,88,blt_1982
5snd,74,1D2,45910.8054,0.0010006922855944561,88,blt_1982
5snd,75,1D2,45911.3891,0.0010006922855944561,88,blt_1982
5snd,79,1D2,45913.5019,0.0010006922855944561,88,blt_1982
5snd,80,1D2,45913.9752,0.0010006922855944561,88,blt_1982
5snd,84,1D2,45915.7197,0.0010006922855944561,88,blt_1982
